hour,size,orders,couriers
0,L,500,5316
0,M,166,1169
0,S,179,1819
1,L,323,129
1,M,89,32
1,S,103,23
2,L,182,53
2,M,43,8
2,S,51,11
3,L,111,35
3,M,30,7
3,S,23,5
4,L,56,65
4,M,14,13
4,S,11,11
5,L,33,338
5,M,13,65
5,S,10,63
6,L,211,2001
6,M,41,447
6,S,73,767
7,L,1211,4818
7,M,427,1416
7,S,379,1652
8,L,2476,5573
8,M,1148,1853
8,S,779,2108
9,L,3005,5363
9,M,1329,1764
9,S,960,2257
10,L,3094,6233
10,M,1463,2494
10,S,1007,2687
11,L,10963,8000
11,M,6108,3738
11,S,4509,3615
12,L,24965,6433
12,M,9753,3246
12,S,7320,2627
13,L,22228,3235
13,M,7469,1488
13,S,5452,1346
14,L,17082,1936
14,M,5545,1030
14,S,3975,1015
15,L,12923,1983
15,M,4738,862
15,S,3358,851
16,L,10691,1488
16,M,4607,755
16,S,3154,898
17,L,10758,1474
17,M,5049,776
17,S,4081,939
18,L,16846,1805
18,M,8562,904
18,S,7380,1126
19,L,19833,998
19,M,9495,533
19,S,8930,702
20,L,12013,619
20,M,4994,261
20,S,5391,254
21,L,5028,309
21,M,1917,125
21,S,2416,117
22,L,1873,161
22,M,730,62
22,S,947,102
23,L,829,497
23,M,272,102
23,S,344,66
